POA_CODE21,lon,lat
2775,150.99534264200963,-33.28115253775306
2776,150.54791808558699,-33.68746895481469
2777,150.60745105575566,-33.6912506013036
2778,150.49026607093467,-33.72496778910237
2779,150.4568364605076,-33.72423370523856
2780,150.31107413261432,-33.700332699474075
2782,150.37672962431313,-33.71871032754969
2783,150.43594016530454,-33.719976759929104
2784,150.41624979640946,-33.727232200601364
2785,150.2348768295285,-33.704235577159686
2786,150.27721143544693,-33.518195795156274
2787,150.11141638085888,-33.930557743143424
2790,150.1934062336342,-33.456391467441776
2791,149.10326810071498,-33.58850145767293
2792,148.97952933707717,-33.641963033834315
2793,148.9208407594748,-33.80443273912872
2794,148.63052715289837,-33.87669550882822
2795,149.56333030528643,-33.51350215559651
2797,149.01866751767474,-33.72383413458199
2798,149.16743062036764,-33.44467370234992
2799,149.24905857728328,-33.59028931797643
2800,149.0535755523112,-33.2830574374509
2803,148.509536376506,-34.13646576008381
2804,148.63661613493383,-33.542981115650846
2805,148.42691333760874,-33.66227797459473
2806,148.3523235380831,-33.411783058873006
2807,148.58442383479118,-34.02275227308239
2808,148.94327134969544,-33.97973235292013
2809,148.38644827071158,-34.02935740123656
2810,148.00203925850911,-33.8494635924829
2817,148.8740022548011,-31.423720109007014
2818,148.76364521529572,-32.44597100048151
2820,148.99669279252075,-32.56252968496577
2821,148.13933713166418,-32.25755060404989
2822,148.63512432094458,-31.94744967905066
2823,147.93230001116663,-32.00299250948017
2824,147.80428281953618,-31.35627733555758
2825,147.09793777314866,-31.67288223403326
2826,147.58044611802137,-31.930254693234613
2827,148.56742750653402,-31.656540929677753
2828,148.52981656095722,-31.279870316736062
2829,148.36423505121704,-30.788675147977006
2830,148.63021074395635,-32.20157076192146
2831,147.01675835153372,-30.820512918063727
2832,148.03830323883943,-29.948578107735745
2833,148.554372043722,-29.38372256016276
2834,147.9880668121268,-29.269987815691472
2835,145.3607970700157,-31.697228043599406
2836,143.42247049140647,-30.91055023010638
2838,147.41576880390832,-29.248037409747624
2839,146.89444058938068,-29.808572372582972
2840,144.8448904791095,-29.918184682917097
2842,149.10763121977635,-31.757916780799775
2843,149.75912532230612,-31.792666317515287
2844,149.34916999579133,-32.036815582663735
2845,150.0504803645747,-33.419282743095074
2846,150.15310166279804,-33.13953946824293
2847,149.97252201816934,-33.35709269239368
2848,149.96741933110334,-32.93098711610465
2849,150.12783521887408,-32.733278895846944
2850,149.63736137074403,-32.63307645299283
2852,149.45955072295428,-32.28120502457379
2864,148.67424254764396,-33.333653983854404
2865,148.63157744430004,-33.16002494984163
2866,148.9596864742274,-33.00885758027917
2867,148.6077826136516,-32.901636918418426
2868,148.5704194886462,-32.73032537078402
2869,148.1167645884678,-32.64941881486277
2870,148.2215682229634,-33.09891918588725
2871,147.80212758078602,-33.47384009861795
2873,147.21878821624279,-32.28633305278731
2874,147.60863097114796,-32.56246059083586
2875,147.60994861615254,-32.91504575221203
2876,147.81649774765867,-33.144516576238715
2877,146.5620102062764,-32.79317259836107
2878,144.20075583989362,-32.78312361171281
2879,142.71930704225883,-32.441690494870834
2880,141.82000521623445,-30.81158278442019
2900,149.0962342716841,-35.45446604108318
2902,149.06310816346092,-35.38430332443091
2903,149.08645036776562,-35.398358786575294
2904,149.1042076356615,-35.40865419436376
2905,149.1088979623574,-35.432017733509646
2906,149.09630841350022,-35.46281532178006
2911,149.13538014599692,-35.21882266043361
2912,149.1567409370367,-35.19493814376124
2913,149.10283399467895,-35.17439627541452
2914,149.13354812589046,-35.16111552976906
3000,144.96229217500834,-37.812265468617596
3002,144.98269666517223,-37.81395582037527
3003,144.9272813737373,-37.810320334917
3004,144.9783620892051,-37.8331391313265
3006,144.96169203653,-37.82523476286855
3008,144.94195985526508,-37.82024979950914
3011,144.89772713690706,-37.8005242528874
3012,144.85856034099442,-37.80291482893234
3013,144.8855093462109,-37.818270233264776
3015,144.88338922430725,-37.83648985216184
3016,144.87253164636502,-37.853023784690166
3018,144.8197506166933,-37.85995784001106
3019,144.85261326266675,-37.780579542999966
3020,144.8241280199468,-37.78342386903369
3021,144.79990658897583,-37.741831259959774
