"year_of_manufacture","vehicle_type","motive_power","no_vehicles"
"2014","Non-freight-carrying vehicles","Hybrid electric",0
"2015","Non-freight-carrying vehicles","Hybrid electric",0
"2016","Non-freight-carrying vehicles","Hybrid electric",0
"2017","Non-freight-carrying vehicles","Hybrid electric",3
"2018","Non-freight-carrying vehicles","Hybrid electric",5
"2019","Non-freight-carrying vehicles","Hybrid electric",3
"2020","Non-freight-carrying vehicles","Hybrid electric",3
"2021","Non-freight-carrying vehicles","Hybrid electric",0
"2022","Non-freight-carrying vehicles","Hybrid electric",3
"2023","Non-freight-carrying vehicles","Hybrid electric",0
"2024","Non-freight-carrying vehicles","Hybrid electric",0
"2025","Non-freight-carrying vehicles","Hybrid electric",0
"Not stated","Non-freight-carrying vehicles","Hybrid electric",0
"1901","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1902","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1903","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1904","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1905","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1906","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1907","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1908","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1909","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1910","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1911","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1912","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1913","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1914","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1915","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1916","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1917","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1918","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1919","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1920","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1921","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1922","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1923","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1924","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1925","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1926","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1927","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1928","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1929","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1930","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1931","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1932","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1933","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1934","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1935","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1936","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1937","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1938","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1939","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1940","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1941","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1942","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1943","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1944","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1945","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1946","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1947","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1948","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1949","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1950","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1951","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1952","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1953","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1954","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1955","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1956","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1957","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1958","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1959","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1960","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1961","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1962","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1963","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1964","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1965","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1966","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1967","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1968","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1969","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1970","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1971","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1972","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1973","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1974","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1975","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1976","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1977","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1978","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1979","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1980","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1981","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1982","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1983","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1984","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1985","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1986","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1987","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1988","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1989","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1990","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1991","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1992","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1993","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1994","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1995","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1996","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1997","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1998","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"1999","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"2000","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"2001","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"2002","Non-freight-carrying vehicles","Battery/Fuel-cell electric",3
"2003","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"2004","Non-freight-carrying vehicles","Battery/Fuel-cell electric",3
"2005","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"2006","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"2007","Non-freight-carrying vehicles","Battery/Fuel-cell electric",3
"2008","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"2009","Non-freight-carrying vehicles","Battery/Fuel-cell electric",3
"2010","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"2011","Non-freight-carrying vehicles","Battery/Fuel-cell electric",3
"2012","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"2013","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"2014","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"2015","Non-freight-carrying vehicles","Battery/Fuel-cell electric",5
"2016","Non-freight-carrying vehicles","Battery/Fuel-cell electric",5
"2017","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"2018","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"2019","Non-freight-carrying vehicles","Battery/Fuel-cell electric",4
"2020","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"2021","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"2022","Non-freight-carrying vehicles","Battery/Fuel-cell electric",4
"2023","Non-freight-carrying vehicles","Battery/Fuel-cell electric",7
"2024","Non-freight-carrying vehicles","Battery/Fuel-cell electric",4
"2025","Non-freight-carrying vehicles","Battery/Fuel-cell electric",0
"Not stated","Non-freight-carrying vehicles","Battery/Fuel-cell electric",3
"1901","Non-freight-carrying vehicles","Other",0
"1902","Non-freight-carrying vehicles","Other",0
"1903","Non-freight-carrying vehicles","Other",0
"1904","Non-freight-carrying vehicles","Other",0
"1905","Non-freight-carrying vehicles","Other",0
"1906","Non-freight-carrying vehicles","Other",0
"1907","Non-freight-carrying vehicles","Other",0
"1908","Non-freight-carrying vehicles","Other",0
"1909","Non-freight-carrying vehicles","Other",0
"1910","Non-freight-carrying vehicles","Other",0
"1911","Non-freight-carrying vehicles","Other",0
"1912","Non-freight-carrying vehicles","Other",3
"1913","Non-freight-carrying vehicles","Other",0
"1914","Non-freight-carrying vehicles","Other",0
"1915","Non-freight-carrying vehicles","Other",0
"1916","Non-freight-carrying vehicles","Other",0
"1917","Non-freight-carrying vehicles","Other",0
"1918","Non-freight-carrying vehicles","Other",0
"1919","Non-freight-carrying vehicles","Other",0
"1920","Non-freight-carrying vehicles","Other",0
"1921","Non-freight-carrying vehicles","Other",0
"1922","Non-freight-carrying vehicles","Other",0
"1923","Non-freight-carrying vehicles","Other",0
"1924","Non-freight-carrying vehicles","Other",0
"1925","Non-freight-carrying vehicles","Other",0
"1926","Non-freight-carrying vehicles","Other",0
"1927","Non-freight-carrying vehicles","Other",0
"1928","Non-freight-carrying vehicles","Other",0
"1929","Non-freight-carrying vehicles","Other",0
"1930","Non-freight-carrying vehicles","Other",0
"1931","Non-freight-carrying vehicles","Other",0
"1932","Non-freight-carrying vehicles","Other",0
"1933","Non-freight-carrying vehicles","Other",0
"1934","Non-freight-carrying vehicles","Other",0
"1935","Non-freight-carrying vehicles","Other",0
"1936","Non-freight-carrying vehicles","Other",0
"1937","Non-freight-carrying vehicles","Other",0
"1938","Non-freight-carrying vehicles","Other",0
"1939","Non-freight-carrying vehicles","Other",0
"1940","Non-freight-carrying vehicles","Other",0
"1941","Non-freight-carrying vehicles","Other",0
"1942","Non-freight-carrying vehicles","Other",0
"1943","Non-freight-carrying vehicles","Other",0
"1944","Non-freight-carrying vehicles","Other",0
"1945","Non-freight-carrying vehicles","Other",0
"1946","Non-freight-carrying vehicles","Other",0
"1947","Non-freight-carrying vehicles","Other",0
"1948","Non-freight-carrying vehicles","Other",0
"1949","Non-freight-carrying vehicles","Other",0
"1950","Non-freight-carrying vehicles","Other",0
"1951","Non-freight-carrying vehicles","Other",0
"1952","Non-freight-carrying vehicles","Other",0
"1953","Non-freight-carrying vehicles","Other",0
"1954","Non-freight-carrying vehicles","Other",0
"1955","Non-freight-carrying vehicles","Other",0
"1956","Non-freight-carrying vehicles","Other",0
"1957","Non-freight-carrying vehicles","Other",0
"1958","Non-freight-carrying vehicles","Other",0
"1959","Non-freight-carrying vehicles","Other",0
"1960","Non-freight-carrying vehicles","Other",0
"1961","Non-freight-carrying vehicles","Other",0
"1962","Non-freight-carrying vehicles","Other",0
"1963","Non-freight-carrying vehicles","Other",0
"1964","Non-freight-carrying vehicles","Other",0
"1965","Non-freight-carrying vehicles","Other",0
"1966","Non-freight-carrying vehicles","Other",0
"1967","Non-freight-carrying vehicles","Other",0
"1968","Non-freight-carrying vehicles","Other",0
"1969","Non-freight-carrying vehicles","Other",0
"1970","Non-freight-carrying vehicles","Other",0
"1971","Non-freight-carrying vehicles","Other",3
"1972","Non-freight-carrying vehicles","Other",3
"1973","Non-freight-carrying vehicles","Other",0
"1974","Non-freight-carrying vehicles","Other",0
"1975","Non-freight-carrying vehicles","Other",4
"1976","Non-freight-carrying vehicles","Other",0
"1977","Non-freight-carrying vehicles","Other",3
"1978","Non-freight-carrying vehicles","Other",4
"1979","Non-freight-carrying vehicles","Other",3
"1980","Non-freight-carrying vehicles","Other",0
"1981","Non-freight-carrying vehicles","Other",11
"1982","Non-freight-carrying vehicles","Other",3
"1983","Non-freight-carrying vehicles","Other",0
"1984","Non-freight-carrying vehicles","Other",8
"1985","Non-freight-carrying vehicles","Other",0
"1986","Non-freight-carrying vehicles","Other",0
"1987","Non-freight-carrying vehicles","Other",3
"1988","Non-freight-carrying vehicles","Other",0
"1989","Non-freight-carrying vehicles","Other",0
"1990","Non-freight-carrying vehicles","Other",0
"1991","Non-freight-carrying vehicles","Other",0
"1992","Non-freight-carrying vehicles","Other",0
"1993","Non-freight-carrying vehicles","Other",0
"1994","Non-freight-carrying vehicles","Other",3
"1995","Non-freight-carrying vehicles","Other",0
"1996","Non-freight-carrying vehicles","Other",3
"1997","Non-freight-carrying vehicles","Other",0
"1998","Non-freight-carrying vehicles","Other",3
"1999","Non-freight-carrying vehicles","Other",0
"2000","Non-freight-carrying vehicles","Other",0
"2001","Non-freight-carrying vehicles","Other",0
"2002","Non-freight-carrying vehicles","Other",0
"2003","Non-freight-carrying vehicles","Other",3
"2004","Non-freight-carrying vehicles","Other",0
"2005","Non-freight-carrying vehicles","Other",0
"2006","Non-freight-carrying vehicles","Other",0
"2007","Non-freight-carrying vehicles","Other",3
"2008","Non-freight-carrying vehicles","Other",0
"2009","Non-freight-carrying vehicles","Other",3
"2010","Non-freight-carrying vehicles","Other",3
"2011","Non-freight-carrying vehicles","Other",0
"2012","Non-freight-carrying vehicles","Other",3
"2013","Non-freight-carrying vehicles","Other",5
"2014","Non-freight-carrying vehicles","Other",8
"2015","Non-freight-carrying vehicles","Other",0
"2016","Non-freight-carrying vehicles","Other",0
"2017","Non-freight-carrying vehicles","Other",0
"2018","Non-freight-carrying vehicles","Other",3
"2019","Non-freight-carrying vehicles","Other",0
"2020","Non-freight-carrying vehicles","Other",0
"2021","Non-freight-carrying vehicles","Other",0
"2022","Non-freight-carrying vehicles","Other",0
"2023","Non-freight-carrying vehicles","Other",0
"2024","Non-freight-carrying vehicles","Other",0
"2025","Non-freight-carrying vehicles","Other",0
"Not stated","Non-freight-carrying vehicles","Other",3
"1901","Campervans","Petrol",0
"1902","Campervans","Petrol",0
"1903","Campervans","Petrol",0
"1904","Campervans","Petrol",0
"1905","Campervans","Petrol",0
"1906","Campervans","Petrol",0
"1907","Campervans","Petrol",0
"1908","Campervans","Petrol",0
"1909","Campervans","Petrol",0
"1910","Campervans","Petrol",0
"1911","Campervans","Petrol",0
"1912","Campervans","Petrol",0
"1913","Campervans","Petrol",0
"1914","Campervans","Petrol",0
"1915","Campervans","Petrol",0
"1916","Campervans","Petrol",0
"1917","Campervans","Petrol",0
"1918","Campervans","Petrol",0
"1919","Campervans","Petrol",0
"1920","Campervans","Petrol",0
"1921","Campervans","Petrol",0
"1922","Campervans","Petrol",0
"1923","Campervans","Petrol",3
"1924","Campervans","Petrol",0
